Datum;Zeit von;Zeit bis;AT0010000000000000001000002529276 (1200171890) - Verbrauch [kWh];;
03.05.2024;00:00:00;00:15:00;0,072;;
03.05.2024;00:15:00;00:30:00;0,063;;
03.05.2024;00:30:00;00:45:00;0,041;;
03.05.2024;00:45:00;01:00:00;0,061;;
03.05.2024;01:00:00;01:15:00;0,056;;
03.05.2024;01:15:00;01:30:00;0,041;;
03.05.2024;01:30:00;01:45:00;0,064;;
03.05.2024;01:45:00;02:00:00;0,052;;
03.05.2024;02:00:00;02:15:00;0,045;;
03.05.2024;02:15:00;02:30:00;0,063;;
03.05.2024;02:30:00;02:45:00;0,048;;
03.05.2024;02:45:00;03:00:00;0,048;;
03.05.2024;03:00:00;03:15:00;0,062;;
03.05.2024;03:15:00;03:30:00;0,044;;
03.05.2024;03:30:00;03:45:00;0,051;;
03.05.2024;03:45:00;04:00:00;0,044;;
03.05.2024;04:00:00;04:15:00;0,018;;
03.05.2024;04:15:00;04:30:00;0,035;;
03.05.2024;04:30:00;04:45:00;0,033;;
03.05.2024;04:45:00;05:00:00;0,019;;
03.05.2024;05:00:00;05:15:00;0,04;;
03.05.2024;05:15:00;05:30:00;0,025;;
03.05.2024;05:30:00;05:45:00;0,026;;
03.05.2024;05:45:00;06:00:00;0,044;;
03.05.2024;06:00:00;06:15:00;0,044;;
03.05.2024;06:15:00;06:30:00;0,054;;
03.05.2024;06:30:00;06:45:00;0,054;;
03.05.2024;06:45:00;07:00:00;0,043;;
03.05.2024;07:00:00;07:15:00;0,134;;
03.05.2024;07:15:00;07:30:00;0,051;;
03.05.2024;07:30:00;07:45:00;0,053;;
03.05.2024;07:45:00;08:00:00;0,07;;
03.05.2024;08:00:00;08:15:00;0,05;;
03.05.2024;08:15:00;08:30:00;0,059;;
03.05.2024;08:30:00;08:45:00;0,078;;
03.05.2024;08:45:00;09:00:00;0,077;;
03.05.2024;09:00:00;09:15:00;0,095;;
03.05.2024;09:15:00;09:30:00;0,088;;
03.05.2024;09:30:00;09:45:00;0,085;;
03.05.2024;09:45:00;10:00:00;0,11;;
03.05.2024;10:00:00;10:15:00;0,096;;
03.05.2024;10:15:00;10:30:00;0,159;;
03.05.2024;10:30:00;10:45:00;0,576;;
03.05.2024;10:45:00;11:00:00;0,414;;
03.05.2024;11:00:00;11:15:00;0,099;;
03.05.2024;11:15:00;11:30:00;0,11;;
03.05.2024;11:30:00;11:45:00;0,089;;
03.05.2024;11:45:00;12:00:00;0,109;;
03.05.2024;12:00:00;12:15:00;0,107;;
03.05.2024;12:15:00;12:30:00;0,089;;
03.05.2024;12:30:00;12:45:00;0,083;;
03.05.2024;12:45:00;13:00:00;0,092;;
03.05.2024;13:00:00;13:15:00;0,108;;
03.05.2024;13:15:00;13:30:00;0,088;;
03.05.2024;13:30:00;13:45:00;0,076;;
03.05.2024;13:45:00;14:00:00;0,058;;
03.05.2024;14:00:00;14:15:00;0,069;;
03.05.2024;14:15:00;14:30:00;0,073;;
03.05.2024;14:30:00;14:45:00;0,056;;
03.05.2024;14:45:00;15:00:00;0,101;;
03.05.2024;15:00:00;15:15:00;0,091;;
03.05.2024;15:15:00;15:30:00;0,083;;
03.05.2024;15:30:00;15:45:00;0,102;;
03.05.2024;15:45:00;16:00:00;0,083;;
03.05.2024;16:00:00;16:15:00;0,088;;
03.05.2024;16:15:00;16:30:00;0,1;;
03.05.2024;16:30:00;16:45:00;0,079;;
03.05.2024;16:45:00;17:00:00;0,1;;
03.05.2024;17:00:00;17:15:00;0,101;;
03.05.2024;17:15:00;17:30:00;0,111;;
03.05.2024;17:30:00;17:45:00;0,205;;
03.05.2024;17:45:00;18:00:00;0,225;;
03.05.2024;18:00:00;18:15:00;0,115;;
03.05.2024;18:15:00;18:30:00;0,107;;
03.05.2024;18:30:00;18:45:00;0,081;;
03.05.2024;18:45:00;19:00:00;0,073;;
03.05.2024;19:00:00;19:15:00;0,081;;
03.05.2024;19:15:00;19:30:00;0,108;;
03.05.2024;19:30:00;19:45:00;0,129;;
03.05.2024;19:45:00;20:00:00;0,118;;
03.05.2024;20:00:00;20:15:00;0,097;;
03.05.2024;20:15:00;20:30:00;0,123;;
03.05.2024;20:30:00;20:45:00;0,437;;
03.05.2024;20:45:00;21:00:00;0,224;;
03.05.2024;21:00:00;21:15:00;0,36;;
03.05.2024;21:15:00;21:30:00;0,505;;
03.05.2024;21:30:00;21:45:00;0,21;;
03.05.2024;21:45:00;22:00:00;0,098;;
03.05.2024;22:00:00;22:15:00;0,141;;
03.05.2024;22:15:00;22:30:00;0,125;;
03.05.2024;22:30:00;22:45:00;0,115;;
03.05.2024;22:45:00;23:00:00;0,056;;
03.05.2024;23:00:00;23:15:00;0,062;;
03.05.2024;23:15:00;23:30:00;0,062;;
03.05.2024;23:30:00;23:45:00;0,041;;
03.05.2024;23:45:00;00:00:00;0,058;;